,title,description,date,link
82,"20 augusti 15:21, Bråk, Västerås",Två män börjar bråka på Vasagatan.,"Thu, 20 Aug 2020 16:34:17 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1521-brak-vasteras/
83,"20 augusti 14:34, Stöld/inbrott, Uppsala",Villainbrott i Svartbäcken.,"Thu, 20 Aug 2020 16:34:11 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1434-stoldinbrott-uppsala/
84,"20 augusti 14:13, Trafikbrott, Östersund","Ordningsbot för hastighetsöverträdelse på riksväg 87 Bringåsen-Lillsjöhögen, Lit.","Thu, 20 Aug 2020 16:33:56 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1413-trafikbrott-ostersund/
85,"20 augusti 13:48, Olovlig körning, Robertsfors",Man misstänkt för olovlig körning i Robertsfors.,"Thu, 20 Aug 2020 16:31:31 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1348-olovlig-korning-robertsfors/
86,"20 augusti 08:59, Stöld, Bräcke",Gripen misstänkt för drivmedelsstöld.,"Thu, 20 Aug 2020 16:15:34 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0859-stold-bracke/
87,"20 augusti 15:59, Trafikolycka, personskada, Göteborg",På Stampgatan vid hållplats Svingeln har en man på elsparkcykel kolliderat med en taxibil.,"Thu, 20 Aug 2020 16:14:10 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1559-trafikolycka-personskada-goteborg/
88,"20 augusti 13:04, Skadegörelse, Östersund",Skadegörelse i butik i Östersunds centrum.,"Thu, 20 Aug 2020 15:48:00 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1304-skadegorelse-ostersund/
89,"20 augusti 14:30, Trafikolycka, personskada, Göteborg",På Sankt Sigfridsgatan har en kvinna i 70-årsåldern blivit påkörd av en bilist.,"Thu, 20 Aug 2020 15:26:12 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1430-trafikolycka-personskada-goteborg/
90,"Uppdaterad 20 augusti 15:13: 20 augusti 10:51, Trafikolycka, Växjö","Två personbilar i kollision, Gårdsby.","Thu, 20 Aug 2020 15:13:32 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1051-trafikolycka-vaxjo/
91,"20 augusti 09:57, Arbetsplatsolycka, Skellefteå",En man avliden och en svårt skadad efter arbetsplatsolycka.,"Thu, 20 Aug 2020 15:06:12 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0957-arbetsplatsolycka-skelleftea/
92,"Uppdaterad 20 augusti 14:49: 20 augusti 11:19, Försvunnen person, Dals-ed",Polisen letar efter en försvunnen man i 40-årsåldern i området runt Dals-Ed.,"Thu, 20 Aug 2020 14:49:07 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1119-forsvunnen-person-dals-ed/
93,"20 augusti 14:33, Stöld, Vetlanda",Inbrott på äldreboende.,"Thu, 20 Aug 2020 14:34:22 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1433-stold-vetlanda/
94,"20 augusti 13:29, Vållande till kroppsskada, Örebro",En kvinna har blivit skadad i samband med ett bråk med en man på Södermalm.,"Thu, 20 Aug 2020 14:32:58 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1329-vallande-till-kroppsskada-orebro/
95,"20 augusti 13:34, Trafikolycka, smitning från, Bollnäs",En personbil blev påkörd i sidan då en annan förare skulle köra om.,"Thu, 20 Aug 2020 14:12:52 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1334-trafikolycka-smitning-fran-bollnas/
96,"20 augusti 05:35, Skadegörelse, Västerås",Okänd person tände eld på en bil i Bäckby på Puddelugnsgatan.,"Thu, 20 Aug 2020 14:03:31 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0535-skadegorelse-vasteras/
97,"20 augusti 13:48, Trafikkontroll, Västerbottens län",Resultat från trafikkontroller i Västerbotten som utförts under dagen.,"Thu, 20 Aug 2020 13:53:36 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1348-trafikkontroll-vasterbottens-lan/
98,"20 augusti 11:18, Rattfylleri, Östersund","Brunflo, misstänkt rattfylleri.","Thu, 20 Aug 2020 13:35:11 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1118-rattfylleri-ostersund/
99,"Uppdaterad 20 augusti 13:34: 20 augusti 12:31, Trafikolycka, singel, Österåker",Polis och ambulans är på väg till Askvägen/Lönnvägen i Norra Runö med anledning av en trafikolycka. Skadeläget är oklart.,"Thu, 20 Aug 2020 13:34:59 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1231-trafikolycka-singel-osteraker/
100,"20 augusti 13:27, Misshandel, Norrköping",Två kvinnor misshandlades av annan kvinna.,"Thu, 20 Aug 2020 13:27:50 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1327-misshandel-norrkoping/
101,"20 augusti 12:33, Stöld/inbrott, Avesta",Det har varit inbrott i en container i Snickarbo.,"Thu, 20 Aug 2020 13:23:41 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1233-stoldinbrott-avesta/
102,"20 augusti 08:07, Fylleri/LOB, Örnsköldsvik","Örnsköldsvik, person omhändertagen.","Thu, 20 Aug 2020 13:21:18 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0807-fyllerilob-ornskoldsvik/
103,"20 augusti 12:49, Övrigt, Västra Götalands län",Är på möte och Peter Adlersson kommer vid 15.,"Thu, 20 Aug 2020 12:51:51 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1249-ovrigt-vastra-gotalands-lan/
104,"20 augusti 12:35, Trafikkontroll, Jämtlands län",Resultat från trafikkontroller i Jämtland på förmiddagen.,"Thu, 20 Aug 2020 12:48:38 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1235-trafikkontroll-jamtlands-lan/
105,"20 augusti 10:34, Olaga intrång, Kristinehamn",En person har tagit sig in i ett stängt utrymme på A9,"Thu, 20 Aug 2020 12:39:10 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1034-olaga-intrang-kristinehamn/
106,"20 augusti 09:48, Stöld, Umeå","Umeå, stöld i matbutik i centrum.","Thu, 20 Aug 2020 12:35:19 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0948-stold-umea/
